Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Comment	Simple Disease	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	O Antigen(Serotype Prediction)	H Antigen(Serotype Prediction)	ST(Achtman 7 Gene MLST)	ST Complex(Achtman 7 Gene MLST)	Lineage(Achtman 7 Gene MLST)	Subspecies(Achtman 7 Gene MLST)	Status(Assembly stats)	Coverage(Assembly stats)	N50(Assembly stats)	Length(Assembly stats)	Species(Assembly stats)	Contig Number(>=200 bp)(Assembly stats)	Low Quality Bases(Assembly stats)	Version(Assembly stats)	Assembly barcode(Assembly stats)	ST(wgMLST)	ST(cgMLST V1 + HierCC V1)	HC0 (indistinguishable)(cgMLST V1 + HierCC V1)	HC2(cgMLST V1 + HierCC V1)	HC5(cgMLST V1 + HierCC V1)	HC10(cgMLST V1 + HierCC V1)	HC20(cgMLST V1 + HierCC V1)	HC50(cgMLST V1 + HierCC V1)	HC100(cgMLST V1 + HierCC V1)	HC200(cgMLST V1 + HierCC V1)	HC400(cgMLST V1 + HierCC V1)	HC1100 (cgST Cplx)(cgMLST V1 + HierCC V1)	HC1500(cgMLST V1 + HierCC V1)	HC2000(cgMLST V1 + HierCC V1)	HC2350 (subsp.)(cgMLST V1 + HierCC V1)	Clermont Type (ClermonTyping)(Phylotypes)	Clermont Type (EzClermont)(Phylotypes)	fimH (fimTyper)(Phylotypes)	Pathovar(Phylotypes)	Stx1(Phylotypes)	Stx2(Phylotypes)	ipaH(Phylotypes)	pInv(Phylotypes)	ST(Phylotypes)	LT(Phylotypes)	eae(Phylotypes)	rST(rMLST)	Species (rMLST)(rMLST)
ESC_JA5760AA	AVC204	SRR7469910;ILLUMINA;Paired;;SRX4339600	Poultry	Poultry	Gallus gallus domesticuss 	2011	6			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O45:H19			APEC			PRJNA479542	SRP151965		SAMN09580025	SRS3500499	2018-07-04	2018-07-04	ESC_JA5760AA	O45	H19	350	ST350 Cplx	ND	ND	Assembled	53	146219	5486771	Escherichia coli / Shigella;97.98%	206	23700	4	ESC_SA8231AA_AS	75624	69244	69244	68964	68964	68964	68964	68961	68961	68961	30323	175	175	2	1	E	E	fimH142	-	-	-	-	-	-	-	-	85281	Escherichia/Shigella sp.
ESC_JA5759AA	AVC207	SRR7469909;ILLUMINA;Paired;;SRX4339601	Poultry	Poultry	Gallus gallus domesticuss	2011	8			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O78:H16			APEC			PRJNA479542	SRP151965		SAMN09580026	SRS3500497	2018-07-04	2018-07-04	ESC_JA5759AA	O78	H16	3589	ND	ND	ND	Assembled	56	255349	5212418	Escherichia coli / Shigella;100.0%	82	26041	4	ESC_SA8232AA_AS	75623	68962	68962	68962	68962	68962	68962	68962	68962	820	820	5	5	2	1	A	U/cryptic	fimH35	-	-	-	-	-	-	-	-	85282	Escherichia/Shigella sp.
ESC_JA5763AA	AVC209	SRR7469913;ILLUMINA;Paired;;SRX4339597	Poultry	Poultry	Gallus gallus domesticus	2011	10			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O182:H25			APEC			PRJNA479542	SRP151965		SAMN09580027	SRS3500494	2018-07-04	2018-07-04	ESC_JA5763AA	O182	H25	57	ST350 Cplx	AxB1	ND	Assembled	37	111420	5552511	Escherichia coli / Shigella;96.56%	182	33654	4	ESC_SA8228AA_AS	75627	69246	69246	69246	69246	69246	69246	69246	69246	3590	3590	175	175	2	1	E	E	fimH759	-	-	-	-	-	-	-	-	15126	Escherichia coli
ESC_JA5740AA	AVC21	SRR7469890;ILLUMINA;Paired;;SRX4339620	Poultry	Poultry	Meleagris gallopavo	2008	2			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O2:H1			APEC			PRJNA479542	SRP151965		SAMN09579966	SRS3500519	2018-07-04	2018-07-04	ESC_JA5740AA	O2	H1	429	ND	B2	ND	Assembled	69	229632	5193380	Escherichia coli / Shigella;94.02%	85	22140	4	ESC_SA8251AA_AS	76644	70287	70287	70287	70262	69260	69260	4221	4221	4221	4221	2745	2745	7	1	B2	B2	fimH20	-	-	-	-	-	-	-	-	1645	Escherichia coli
ESC_JA5764AA	AVC210	SRR7469914;ILLUMINA;Paired;;SRX4339596	Poultry	Poultry	Gallus gallus domesticus	2011	10			Oceania	Australia							University of Technology, Sydney	Escherichia coli		Ont:H25			APEC			PRJNA479542	SRP151965		SAMN09580028	SRS3500496	2018-07-04	2018-07-04	ESC_JA5764AA	-	H25	57	ST350 Cplx	AxB1	ND	Assembled	68	38823	5513696	Escherichia coli / Shigella;96.7%	414	62779	4	ESC_SA8227AA_AS	75628	69249	69249	69249	69246	69246	69246	69246	69246	3590	3590	175	175	2	1	E	E	fimH759	-	-	-	-	-	-	-	-	15126	Escherichia coli
ESC_JA5761AA	AVC211	SRR7469911;ILLUMINA;Paired;;SRX4339599	Poultry	Poultry	Gallus gallus domesticus	2011	11			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O78:H4			APEC			PRJNA479542	SRP151965		SAMN09580029	SRS3500500	2018-07-04	2018-07-04	ESC_JA5761AA	O78	H4	665	ND	ND	ND	Assembled	53	127488	5449033	Escherichia coli / Shigella;97.52%	264	64699	4	ESC_SA8230AA_AS	75625	69248	69248	69248	69248	69248	69248	69248	69248	69248	2321	2320	5	2	1	A	A	fimH30	-	-	-	-	-	-	-	-	1952	Escherichia coli
ESC_JA5762AA	AVC213	SRR7469912;ILLUMINA;Paired;;SRX4339598	Poultry	Poultry	Gallus gallus domesticuss	2011	11			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O102:H51			APEC			PRJNA479542	SRP151965		SAMN09580030	SRS3500498	2018-07-04	2018-07-04	ESC_JA5762AA	O102	H51	155	ST155 Cplx	B1	ND	Assembled	61	94529	5295143	Escherichia coli / Shigella;95.67%	281	76307	4	ESC_SA8229AA_AS	75626	69247	69247	69247	69247	69247	69247	69247	69247	1157	106	106	5	2	1	B1	B1	fimH32	-	-	-	-	-	-	-	-	85283	Escherichia/Shigella sp.
ESC_JA5767AA	AVC215	SRR7469917;ILLUMINA;Paired;;SRX4339593	Poultry	Poultry	missing	2012	1			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O78:H4			APEC			PRJNA479542	SRP151965		SAMN09580031	SRS3500491	2018-07-04	2018-07-04	ESC_JA5767AA	O78	H4	117	ND	ABD	ND	Assembled	74	121784	5081223	Escherichia coli / Shigella;99.28%	144	96366	4	ESC_SA8224AA_AS	75631	69252	69252	69252	69252	69252	69252	69252	69252	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	14754	Escherichia coli
ESC_JA5768AA	AVC216	SRR7469918;ILLUMINA;Paired;;SRX4339592	Poultry	Poultry	missing	2012	1			Oceania	Australia							University of Technology, Sydney	Escherichia coli		Ont:H15			APEC			PRJNA479542	SRP151965		SAMN09580032	SRS3500489	2018-07-04	2018-07-04	ESC_JA5768AA	-	H15	973	ND	ND	ND	Assembled	65	36821	5248570	Escherichia coli / Shigella;99.64%	333	124782	4	ESC_SA8223AA_AS	75632	69253	69253	69253	69253	69241	69241	69241	69241	1419	1419	1419	1419	642	1	D	D	fimH26	-	-	-	-	-	-	-	-	15031	Escherichia coli
ESC_JA5765AA	AVC218	SRR7469915;ILLUMINA;Paired;;SRX4339595	Poultry	Poultry	Gallus gallus domesticus	2012	1			Oceania	Australia							University of Technology, Sydney	Escherichia coli					APEC			PRJNA479542	SRP151965		SAMN09580033	SRS3500493	2018-07-04	2018-07-04	ESC_JA5765AA	-	H6	141	ND	B2	ND	Assembled	66	52152	5202532	Escherichia coli / Shigella;100.0%	258	54840	4	ESC_SA8226AA_AS	75629	69251	69251	69251	69251	69251	69251	69251	56	56	56	56	56	1	1	B2	B2	fimH5	-	-	-	-	-	-	-	-	1520	Escherichia coli
ESC_JA5766AA	AVC219	SRR7469916;ILLUMINA;Paired;;SRX4339594	Poultry	Poultry	Gallus gallus domesticus	2012	2			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O182:H25			APEC			PRJNA479542	SRP151965		SAMN09580034	SRS3500495	2018-07-04	2018-07-04	ESC_JA5766AA	O182	H25	57	ST350 Cplx	AxB1	ND	Assembled	88	109577	5595993	Escherichia coli / Shigella;95.41%	237	31467	4	ESC_SA8225AA_AS	75630	69250	69250	69246	69246	69246	69246	69246	69246	3590	3590	175	175	2	1	E	E	fimH759	-	-	-	-	-	-	-	-	15126	Escherichia coli
ESC_JA5769AA	AVC220	SRR7469919;ILLUMINA;Paired;;SRX4339591	Poultry	Poultry	missing	2012	2			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O78:H4			APEC			PRJNA479542	SRP151965		SAMN09580035	SRS3500492	2018-07-04	2018-07-04	ESC_JA5769AA	O78	H4	117	ND	ABD	ND	Assembled	82	101242	5239326	Escherichia coli / Shigella;97.49%	141	102757	4	ESC_SA8222AA_AS	75633	69254	69254	69254	69254	69252	69252	69252	69252	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	14754	Escherichia coli
ESC_JA5770AA	AVC221	SRR7469920;ILLUMINA;Paired;;SRX4339590	Poultry	Poultry	missing	2012	2			Oceania	Australia							University of Technology, Sydney	Escherichia coli					APEC			PRJNA479542	SRP151965		SAMN09580036	SRS3500490	2018-07-04	2018-07-04	ESC_JA5770AA	O11 or OX19	H15	973	ND	ND	ND	Assembled	74	140215	5326986	Escherichia coli / Shigella;96.67%	130	60651	4	ESC_SA8221AA_AS	75634	69255	69255	69255	69255	69241	69241	69241	69241	1419	1419	1419	1419	642	1	D	D	fimH26	-	-	-	-	-	-	-	-	15031	Escherichia coli
ESC_JA5683AA	AVC222	SRR7469833;ILLUMINA;Paired;;SRX4339677	Poultry	Poultry	missing	2012	2			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O111:H4			APEC			PRJNA479542	SRP151965		SAMN09580037	SRS3500577	2018-07-04	2018-07-04	ESC_JA5683AA	O111	H4	117	ND	ABD	ND	Assembled	63	122408	5306105	Escherichia coli / Shigella;95.53%	237	62556	4	ESC_SA8308AA_AS	76671	70310	70310	70310	29949	29949	29949	29949	29949	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	1658	Escherichia coli
ESC_JA5682AA	AVC223	SRR7469832;ILLUMINA;Paired;;SRX4339678	Poultry	Poultry	missing	2012	2			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O53:H4			APEC			PRJNA479542	SRP151965		SAMN09580038	SRS3500576	2018-07-04	2018-07-04	ESC_JA5682AA	O53	H4	117	ND	ABD	ND	Assembled	61	122978	5113456	Escherichia coli / Shigella;96.39%	219	42019	4	ESC_SA8309AA_AS	76669	70299	70299	70299	70299	70299	70299	70299	50779	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	3485	Escherichia coli
ESC_JA5681AA	AVC224	SRR7469831;ILLUMINA;Paired;;SRX4339679	Poultry	Poultry	Gallus gallus domesticus	2012	3			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O45:H19			APEC			PRJNA479542	SRP151965		SAMN09580039	SRS3500578	2018-07-04	2018-07-04	ESC_JA5681AA	O45	H19	350	ST350 Cplx	ND	ND	Assembled	73	118052	5502743	Escherichia coli / Shigella;96.3%	224	31004	4	ESC_SA8310AA_AS	76670	70298	70298	70298	70298	70298	70298	68961	68961	68961	30323	175	175	2	1	E	E	fimH142	-	-	-	-	-	-	-	-	85390	Escherichia/Shigella sp.
ESC_JA5680AA	AVC226	SRR7469830;ILLUMINA;Paired;;SRX4339680	Poultry	Poultry	Anas platyrhynchos domesticus	2012	8			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O63:H4			APEC			PRJNA479542	SRP151965		SAMN09580040	SRS3500579	2018-07-04	2018-07-04	ESC_JA5680AA	O63	H4	665	ND	ND	ND	Assembled	95	343746	4901071	Escherichia coli / Shigella;92.22%	117	19297	4	ESC_SA8311AA_AS	75643	69265	69265	69265	69265	69265	69265	69265	69265	69265	2321	2320	5	2	1	A	A	fimH30	-	-	-	-	-	-	-	-	1952	Escherichia coli
ESC_JA5679AA	AVC227	SRR7469829;ILLUMINA;Paired;;SRX4339681	Poultry	Poultry	Gallus gallus domesticus	2012	11			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O1:H7			APEC			PRJNA479542	SRP151965		SAMN09580041	SRS3500580	2018-07-04	2018-07-04	ESC_JA5679AA	O1	H7	95	ST95 Cplx	B2	ND	Assembled	54	225326	5411483	Escherichia coli / Shigella;98.08%	178	41640	4	ESC_SA8312AA_AS	76667	70307	70307	70307	70307	70307	9838	1106	1104	1104	44	44	44	1	1	B2	B2	fimH27	-	-	-	-	-	-	-	-	42489	Escherichia/Shigella sp.
ESC_JA5678AA	AVC228	SRR7469828;ILLUMINA;Paired;;SRX4339682	Poultry	Poultry	missing	2013	3			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O143:H4			APEC			PRJNA479542	SRP151965		SAMN09580042	SRS3500582	2018-07-04	2018-07-04	ESC_JA5678AA	O143	H4	4045	ND	ABD	ND	Assembled	51	132856	5154153	Escherichia coli / Shigella;98.28%	158	44257	4	ESC_SA8313AA_AS	76668	70305	70305	70305	70305	70305	70305	14171	14171	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	1658	Escherichia coli
ESC_JA5677AA	AVC232	SRR7469827;ILLUMINA;Paired;;SRX4339683	Poultry	Poultry	missing	2013	10			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O24:H26			APEC			PRJNA479542	SRP151965		SAMN09580043	SRS3500581	2018-07-04	2018-07-04	ESC_JA5677AA	O24	H26	57	ST350 Cplx	AxB1	ND	Assembled	75	166126	5308938	Escherichia coli / Shigella;99.01%	128	25066	4	ESC_SA8314AA_AS	76666	70296	70296	70293	69242	69242	69242	69242	69242	4209	3590	175	175	2	1	E	E	fimH158	-	-	-	-	-	-	-	-	1664	Escherichia coli
ESC_JA5676AA	AVC233	SRR7469826;ILLUMINA;Paired;;SRX4339684	Poultry	Poultry	missing	2013	10			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O24:H26			APEC			PRJNA479542	SRP151965		SAMN09580044	SRS3500583	2018-07-04	2018-07-04	ESC_JA5676AA	O24	H26	57	ST350 Cplx	AxB1	ND	Assembled	166	202489	5312935	Escherichia coli / Shigella;98.85%	116	80476	4	ESC_SA8315AA_AS	76702	70306	70306	70293	69242	69242	69242	69242	69242	4209	3590	175	175	2	1	E	E	fimH158	-	-	-	-	-	-	-	-	1664	Escherichia coli
ESC_JA5675AA	AVC234	SRR7469825;ILLUMINA;Paired;;SRX4339685	Poultry	Poultry	missing	2013	10			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O115:H25			APEC			PRJNA479542	SRP151965		SAMN09580045	SRS3500584	2018-07-04	2018-07-04	ESC_JA5675AA	O115	H25	57	ST350 Cplx	AxB1	ND	Assembled	93	86315	5368917	Escherichia coli / Shigella;94.75%	220	65433	4	ESC_SA8316AA_AS	76699	70304	70304	70304	70304	70304	70304	70304	69246	3590	3590	175	175	2	1	E	E	fimH759	-	-	-	-	-	-	-	-	85393	Escherichia/Shigella sp.
ESC_JA5674AA	AVC235	SRR7469824;ILLUMINA;Paired;;SRX4339686	Poultry	Poultry	missing	2014	1			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O2:H5			APEC			PRJNA479542	SRP151965		SAMN09580046	SRS3500585	2018-07-04	2018-07-04	ESC_JA5674AA	O2	H5	95	ST95 Cplx	B2	ND	Assembled	76	204164	5338196	Escherichia coli / Shigella;97.92%	132	37336	4	ESC_SA8317AA_AS	76665	70297	70297	70297	70297	4252	4252	4252	4252	4252	44	44	44	1	1	B2	B2	fimH526	-	-	-	-	-	-	-	-	33339	Escherichia/Shigella sp.
ESC_JA5694AA	AVC237	SRR7469844;ILLUMINA;Paired;;SRX4339666	Poultry	Poultry	missing	2014	1			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O100:H32			APEC			PRJNA479542	SRP151965		SAMN09580047	SRS3500567	2018-07-04	2018-07-04	ESC_JA5694AA	O100	H32	10	ST10 Cplx	A	ND	Assembled	51	197957	4708375	Escherichia coli / Shigella;98.05%	86	21222	4	ESC_SA8297AA_AS	76678	70315	70315	70315	70315	70315	70315	70315	70315	63065	4231	13	5	2	1	A	A	fimH23	-	-	-	-	-	-	-	-	33344	Escherichia/Shigella sp.
ESC_JA5695AA	AVC242	SRR7469845;ILLUMINA;Paired;;SRX4339665	Poultry	Poultry	Gallus gallus domesticus	2014	7			Oceania	Australia							University of Technology, Sydney	Escherichia coli		Ont:H7			APEC			PRJNA479542	SRP151965		SAMN09580048	SRS3500566	2018-07-04	2018-07-04	ESC_JA5695AA	-	H7	95	ST95 Cplx	B2	ND	Assembled	74	87351	5321399	Escherichia coli / Shigella;99.22%	196	45532	4	ESC_SA8296AA_AS	76682	70311	70311	70311	70311	69262	69262	1106	1104	1104	44	44	44	1	1	B2	B2	fimH27	-	-	-	-	-	-	-	-	30657	Escherichia/Shigella sp.
ESC_JA5696AA	AVC246	SRR7469846;ILLUMINA;Paired;;SRX4339664	Poultry	Poultry	Gallus gallus domesticus	2014	11			Oceania	Australia							University of Technology, Sydney	Escherichia coli					APEC			PRJNA479542	SRP151965		SAMN09580049	SRS3500563	2018-07-04	2018-07-04	ESC_JA5696AA	O24	H26	57	ST350 Cplx	AxB1	ND	Assembled	60	78320	5304913	Escherichia coli / Shigella;99.35%	186	42545	4	ESC_SA8295AA_AS	76647	70293	70293	70293	69242	69242	69242	69242	69242	4209	3590	175	175	2	1	E	E	fimH158	-	-	-	-	-	-	-	-	1664	Escherichia coli
ESC_JA5697AA	AVC249	SRR7469847;ILLUMINA;Paired;;SRX4339663	Poultry	Poultry	missing	2014	12			Oceania	Australia							University of Technology, Sydney	Escherichia coli					APEC			PRJNA479542	SRP151965		SAMN09580050	SRS3500561	2018-07-04	2018-07-04	ESC_JA5697AA	-	H18	117	ND	ABD	ND	Assembled	52	35452	4853584	Escherichia coli / Shigella;97.93%	360	103738	4	ESC_SA8294AA_AS	76648	70294	70294	70294	70294	70294	70294	9005	9005	9005	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	1658	Escherichia coli
ESC_JA5684AA	AVC25	SRR7469834;ILLUMINA;Paired;;SRX4339676	Poultry	Poultry	missing	2008	4			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O2:H1			APEC			PRJNA479542	SRP151965		SAMN09579967	SRS3500574	2018-07-04	2018-07-04	ESC_JA5684AA	O2	H1	429	ND	B2	ND	Assembled	58	272073	5191978	Escherichia coli / Shigella;94.59%	87	18908	4	ESC_SA8307AA_AS	76674	70300	70300	70300	70262	69260	69260	4221	4221	4221	4221	2745	2745	7	1	B2	B2	fimH20	-	-	-	-	-	-	-	-	1645	Escherichia coli
ESC_JA5698AA	AVC251	SRR7469848;ILLUMINA;Paired;;SRX4339662	Poultry	Poultry	Gallus gallus domesticus	2015	3			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O2:H6			APEC			PRJNA479542	SRP151965		SAMN09580051	SRS3500562	2018-07-04	2018-07-04	ESC_JA5698AA	O2	H6	141	ND	B2	ND	Assembled	70	229202	5302114	Escherichia coli / Shigella;98.97%	142	26752	4	ESC_SA8293AA_AS	76650	70295	70295	70295	70295	70295	70295	70295	56	56	56	56	56	1	1	B2	B2	fimH5	-	-	-	-	-	-	-	-	1520	Escherichia coli
ESC_JA5699AA	AVC252	SRR7469849;ILLUMINA;Paired;;SRX4339661	Poultry	Poultry	missing	2015	3			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O9:H17			APEC			PRJNA479542	SRP151965		SAMN09580052	SRS3500560	2018-07-04	2018-07-04	ESC_JA5699AA	O9	H4	88	ST23 Cplx	B1	ND	Assembled	58	40691	5276507	Escherichia coli / Shigella;97.06%	359	75999	4	ESC_SA8292AA_AS	76649	70289	70289	70289	70289	70289	70289	70289	70289	70289	8463	5	5	2	1	C	C	fimH27	-	-	-	-	-	-	-	-	14767	Escherichia coli
ESC_JA5700AA	AVC256	SRR7469850;ILLUMINA;Paired;;SRX4339660	Poultry	Poultry	Gallus gallus domesticus	2015	7			Oceania	Australia							University of Technology, Sydney	Escherichia coli		Ont:H7			APEC			PRJNA479542	SRP151965		SAMN09580053	SRS3500558	2018-07-04	2018-07-04	ESC_JA5700AA	O1	H7	95	ST95 Cplx	B2	ND	Assembled	59	94269	5322243	Escherichia coli / Shigella;98.36%	193	39040	4	ESC_SA8291AA_AS	76617	69262	69262	69262	69262	69262	69262	1106	1104	1104	44	44	44	1	1	B2	B2	fimH27	-	-	-	-	-	-	-	-	30657	Escherichia/Shigella sp.
ESC_JA5685AA	AVC26	SRR7469835;ILLUMINA;Paired;;SRX4339675	Poultry	Poultry	missing	2008	4			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O2:H1			APEC			PRJNA479542	SRP151965		SAMN09579968	SRS3500575	2018-07-04	2018-07-04	ESC_JA5685AA	O2	H1	429	ND	B2	ND	Assembled	53	258851	5192548	Escherichia coli / Shigella;93.06%	84	23356	4	ESC_SA8306AA_AS	76673	70312	70312	70300	70262	69260	69260	4221	4221	4221	4221	2745	2745	7	1	B2	B2	fimH20	-	-	-	-	-	-	-	-	1645	Escherichia coli
ESC_JA5686AA	AVC29	SRR7469836;ILLUMINA;Paired;;SRX4339674	Poultry	Poultry	missing	2008	6			Oceania	Australia							University of Technology, Sydney	Escherichia coli					APEC			PRJNA479542	SRP151965		SAMN09579969	SRS3500572	2018-07-04	2018-07-04	ESC_JA5686AA	O78	H4	117	ND	ABD	ND	Assembled	31	111563	5086699	Escherichia coli / Shigella;98.15%	153	67245	4	ESC_SA8305AA_AS	76672	70301	70301	70301	70301	69252	69252	69252	69252	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	14754	Escherichia coli
ESC_JA5687AA	AVC30	SRR7469837;ILLUMINA;Paired;;SRX4339673	Poultry	Poultry	missing	2008	6			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O78:H4			APEC			PRJNA479542	SRP151965		SAMN09579970	SRS3500571	2018-07-04	2018-07-04	ESC_JA5687AA	-	H4	117	ND	ABD	ND	Assembled	47	110215	5091822	Escherichia coli / Shigella;97.73%	184	55087	4	ESC_SA8304AA_AS	76676	70302	70302	70302	70301	69252	69252	69252	69252	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	14754	Escherichia coli
ESC_JA5688AA	AVC34	SRR7469838;ILLUMINA;Paired;;SRX4339672	Poultry	Poultry	Meleagris gallopavo	2008	7			Oceania	Australia							University of Technology, Sydney	Escherichia coli		Ont:H28			APEC			PRJNA479542	SRP151965		SAMN09579971	SRS3500573	2018-07-04	2018-07-04	ESC_JA5688AA	-	H28	2473	ND	ND	ND	Assembled	52	40869	5168292	Escherichia coli / Shigella;99.3%	345	75745	4	ESC_SA8303AA_AS	76675	70303	70303	70303	70303	70303	70303	70303	70303	3555	579	579	5	2	1	B1	B1	fimH38	-	-	-	-	-	-	-	-	15299	Escherichia coli
ESC_JA5689AA	AVC35	SRR7469839;ILLUMINA;Paired;;SRX4339671	Poultry	Poultry	Meleagris gallopavo	2008	7			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O168:H28			APEC			PRJNA479542	SRP151965		SAMN09579972	SRS3500568	2018-07-04	2018-07-04	ESC_JA5689AA	O168 or OX6	H28	2473	ND	ND	ND	Assembled	53	187112	5182647	Escherichia coli / Shigella;97.89%	124	22735	4	ESC_SA8302AA_AS	76677	70313	70303	70303	70303	70303	70303	70303	70303	3555	579	579	5	2	1	B1	B1	fimH38	-	-	-	-	-	-	-	-	15299	Escherichia coli
ESC_JA5690AA	AVC38	SRR7469840;ILLUMINA;Paired;;SRX4339670	Poultry	Poultry	Gallus gallus domesticus	2008	7			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O1:H7			APEC			PRJNA479542	SRP151965		SAMN09579973	SRS3500570	2018-07-04	2018-07-04	ESC_JA5690AA	O1	H7	95	ST95 Cplx	B2	ND	Assembled	101	194623	5184682	Escherichia coli / Shigella;98.98%	140	35720	4	ESC_SA8301AA_AS	75644	69269	69269	69269	69269	45021	2245	2245	2245	1592	44	44	44	1	1	B2	B2	fimH30	-	-	-	-	-	-	-	-	2178	Escherichia coli
ESC_JA5691AA	AVC39	SRR7469841;ILLUMINA;Paired;;SRX4339669	Poultry	Poultry	Gallus gallus domesticus	2008	7			Oceania	Australia							University of Technology, Sydney	Escherichia coli		Ont:H15			APEC			PRJNA479542	SRP151965		SAMN09579974	SRS3500565	2018-07-04	2018-07-04	ESC_JA5691AA	-	H15	973	ND	ND	ND	Assembled	60	77937	5254210	Escherichia coli / Shigella;96.84%	200	60333	4	ESC_SA8300AA_AS	76680	70308	70308	70308	70308	70308	69241	69241	69241	1419	1419	1419	1419	642	1	D	D	fimH26	-	-	-	-	-	-	-	-	15031	Escherichia coli
ESC_JA5735AA	AVC4	SRR7469885;ILLUMINA;Paired;;SRX4339625	Poultry	Poultry	missing	2007	1			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O78:H4			APEC			PRJNA479542	SRP151965		SAMN09579957	SRS3500524	2018-07-04	2018-07-04	ESC_JA5735AA	O78	H4	117	ND	ABD	ND	Assembled	43	118545	5243480	Escherichia coli / Shigella;97.28%	132	42646	4	ESC_SA8256AA_AS	76641	70279	70279	70279	70279	70279	70279	69252	69252	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	14754	Escherichia coli
ESC_JA5736AA	AVC5	SRR7469886;ILLUMINA;Paired;;SRX4339624	Poultry	Poultry	missing	2007	3			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O111:H4			APEC			PRJNA479542	SRP151965		SAMN09579958	SRS3500523	2018-07-04	2018-07-04	ESC_JA5736AA	O111	H4	117	ND	ABD	ND	Assembled	32	140720	5172291	Escherichia coli / Shigella;93.86%	154	57955	4	ESC_SA8255AA_AS	76640	70286	70286	70266	70266	29949	29949	29949	29949	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	1658	Escherichia coli
ESC_JA5692AA	AVC51	SRR7469842;ILLUMINA;Paired;;SRX4339668	Poultry	Poultry	missing	2008	8			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O88:H18			APEC			PRJNA479542	SRP151965		SAMN09579975	SRS3500564	2018-07-04	2018-07-04	ESC_JA5692AA	O88	H18	38	ST38 Cplx	D	ND	Assembled	59	148416	4981572	Escherichia coli / Shigella;99.09%	161	59061	4	ESC_SA8299AA_AS	76679	70314	70314	70314	70314	70314	70314	70314	1425	1246	59	59	59	2	1	D	D	fimH65	-	-	-	-	-	-	-	-	1653	Escherichia coli
ESC_JA5693AA	AVC58	SRR7469843;ILLUMINA;Paired;;SRX4339667	Poultry	Poultry	Gallus gallus domesticus	2008	8			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O78:H4			APEC			PRJNA479542	SRP151965		SAMN09579976	SRS3500569	2018-07-04	2018-07-04	ESC_JA5693AA	O78	H4	117	ND	ABD	ND	Assembled	59	152331	5094833	Escherichia coli / Shigella;97.9%	129	34193	4	ESC_SA8298AA_AS	76681	70309	70309	70309	70309	70309	69252	69252	69252	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	14754	Escherichia coli
