name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
FH127		contig00018	36877	37308	+	marR_S3N	Escherichia ampicillin/chloramphenicol/quinolone/rifampin/tetracycline resistant MarR	core	AMR	POINT	MULTIDRUG	AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE	POINTX	144	144	100.0	97.92	144	WP_000843414.1	transcriptional regulator MarR		
FH127		contig00022	18511	19698	+	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	396	396	100.0	99.24	396	EFF04178.1	multidrug efflux MFS transporter EmrD		
FH127		contig00031	20621	21166	+	papA	P fimbria major subunit PapA	plus	VIRULENCE	VIRULENCE			BLASTX	182	184	100.0	83.15	184	ENA25238.1	P fimbria major subunit PapA		
FH127		contig00031	21878	24385	+	papC	P fimbrial usher protein PapC	plus	VIRULENCE	VIRULENCE			BLASTX	836	836	100.0	96.43	841	CAA43564.1	P fimbrial usher protein PapC		
FH127		contig00031	26384	26902	+	papE	P fimbrial minor subunit PapE	plus	VIRULENCE	VIRULENCE			EXACTX	173	173	100.0	100.0	173	CAA43568.1	P fimbrial minor subunit PapE		
FH127		contig00031	26980	27477	+	papF	P fimbrial tip protein PapF	plus	VIRULENCE	VIRULENCE			BLASTX	166	167	100.0	91.62	167	CAA43569.1	P fimbrial tip protein PapF		
FH127		contig00031	27524	28531	+	papG-II	P fimbria tip G-adhesin PapG-II	plus	VIRULENCE	VIRULENCE			BLASTX	336	337	100.0	98.81	337	AAA24293.1	P fimbria tip G-adhesin PapG-II		
FH127		contig00032	1842	5972	-	tsh	temperature-sensitive protease autotransporter hemagglutinin Tsh	plus	VIRULENCE	VIRULENCE			BLASTX	1377	1377	100.0	99.85	1377	AAT35241.2	temperature-sensitive protease autotransporter hemagglutinin Tsh		
FH127		contig00035	14787	15599	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2		
FH127		contig00038	788	1126	+	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE			EXACTX	113	113	100.0	100.0	113	CAQ90194.1	increased serum survival lipoprotein Iss		
FH127		contig00038	4274	5386	+	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE			BLASTX	371	371	100.0	99.46	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB		
FH127		contig00038	5529	9185	+	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE			BLASTX	1219	1219	100.0	99.51	1219	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC		
FH127		contig00038	9292	10518	+	iroD	catecholate siderophore esterase IroD	plus	VIRULENCE	VIRULENCE			EXACTX	409	409	100.0	100.0	409	ACJ63529.1	catecholate siderophore esterase IroD		
FH127		contig00038	10606	11559	+	iroE	catecholate siderophore esterase IroE	plus	VIRULENCE	VIRULENCE			BLASTX	318	318	100.0	99.69	318	ACJ63530.1	catecholate siderophore esterase IroE		
FH127		contig00038	11610	13784	-	iroN	siderophore salmochelin receptor IroN	plus	VIRULENCE	VIRULENCE			BLASTX	725	725	100.0	99.86	725	AAN76093.1	siderophore salmochelin receptor IroN		
FH127		contig00042	436	2622	-	iutA	ferric aerobactin receptor IutA	plus	VIRULENCE	VIRULENCE			BLASTX	729	731	99.73	89.85	729	AAN45165.2	ferric aerobactin receptor IutA		
FH127		contig00042	2719	3993	-	iucD	NADPH-dependent L-lysine N(6)-monooxygenase IucD	plus	VIRULENCE	VIRULENCE			BLASTX	425	445	95.51	97.18	425	AAD44749.1	NADPH-dependent L-lysine N(6)-monooxygenase IucD		
FH127		contig00042	3993	5732	-	iucC	NIS family aerobactin synthetase IucC	plus	VIRULENCE	VIRULENCE			BLASTX	580	580	100.0	97.59	580	AAN82073.1	NIS family aerobactin synthetase IucC		
FH127		contig00042	5735	6679	-	iucB	N(6)-hydroxylysine O-acetyltransferase IucB	plus	VIRULENCE	VIRULENCE			BLASTX	315	315	100.0	96.19	315	AAN82074.1	N(6)-hydroxylysine O-acetyltransferase IucB		
FH127		contig00042	6683	8404	-	iucA	aerobactin synthase IucA	plus	VIRULENCE	VIRULENCE			BLASTX	574	576	100.0	95.31	576	EGI25746.1	aerobactin synthase IucA		
FH127		contig00045	5105	7198	+	mchF	microcin H47 export transporter peptidase/ATP-binding subunit MchF	plus	VIRULENCE	VIRULENCE			BLASTX	698	698	100.0	99.86	698	CAA40744.1	microcin H47 export transporter peptidase/ATP-binding subunit MchF		
FH127		contig00045	7374	7682	-	cvaC	colicin V	plus	VIRULENCE	VIRULENCE			EXACTX	103	103	100.0	100.0	103	CAA40746.1	colicin V		
FH127		contig00079	2	1246	-	ireA	TonB-dependent siderophore receptor IreA	plus	VIRULENCE	VIRULENCE			PARTIAL_CONTIG_ENDX	415	682	60.85	99.76	415	AAN83596.1	TonB-dependent siderophore receptor IreA		
FH111		contig00001	338795	340150	+	glpT_E448K	Escherichia fosfomycin resistant GlpT	core	AMR	POINT	FOSFOMYCIN	FOSFOMYCIN	POINTX	452	452	100.0	99.78	452	WP_000948731.1	glycerol-3-phosphate transporter GlpT		
FH111		contig00002	37841	38170	+	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	110	110	100.0	98.18	110	CAA77936.1	multidrug efflux SMR transporter EmrE		
FH111		contig00005	186702	191270	-	sslE	lipoprotein metalloprotease SslE	plus	VIRULENCE	VIRULENCE			BLASTX	1523	1520	100.0	95.87	1524	ADE89421.1	lipoprotein metalloprotease SslE		
FH111		contig00005	267795	269684	-	parE_D475E	Escherichia quinolone resistant ParE	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	630	630	100.0	99.52	630	WP_033554192.1	DNA topoisomerase IV subunit B ParE		
FH111		contig00006	84369	85499	-	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	377	377	100.0	98.94	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5		
FH111		contig00007	250709	250972	-	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID			BLASTX	88	88	100.0	97.73	88	AAC74250.1	biofilm/acid-resistance regulator AriR		
FH111		contig00008	82016	83203	-	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	396	396	100.0	99.49	396	EFF04178.1	multidrug efflux MFS transporter EmrD		
FH111		contig00008	225241	225762	+	lpfA	long polar fimbria major subunit LpfA	plus	VIRULENCE	VIRULENCE			BLASTX	174	174	100.0	95.4	174	CAV00478.1	long polar fimbria major subunit LpfA		
FH111		contig00009	200949	202316	-	ibeA	putative intracellular survival FAD-dependent oxidoreductase IbeA	plus	VIRULENCE	VIRULENCE			BLASTX	456	456	100.0	98.25	456	AAF98391.2	putative intracellular survival FAD-dependent oxidoreductase IbeA		
FH111		contig00010	189145	192246	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1034	1034	100.0	99.52	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF		
FH111		contig00013	107831	109630	+	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE			BLASTX	600	600	100.0	99.67	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP		
FH111		contig00013	109620	111419	+	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE			BLASTX	600	600	100.0	99.17	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ		
FH111		contig00023	12876	17123	-	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE			BLASTX	1416	1416	100.0	99.86	1416	ABE05822.1	intimin-like adhesin FdeC		
FH111		contig00023	36835	39138	+	vactox	vacuolating autotransporter toxin Vat	plus	VIRULENCE	VIRULENCE			PARTIALX	768	1376	55.81	100.0	768	AAN78874.1	vacuolating autotransporter toxin Vat		
FH111		contig00024	214	2388	+	iroN	siderophore salmochelin receptor IroN	plus	VIRULENCE	VIRULENCE			EXACTX	725	725	100.0	100.0	725	AAN76093.1	siderophore salmochelin receptor IroN		
FH111		contig00024	2439	3392	-	iroE	catecholate siderophore esterase IroE	plus	VIRULENCE	VIRULENCE			BLASTX	318	318	100.0	99.69	318	ACJ63530.1	catecholate siderophore esterase IroE		
FH111		contig00024	3480	4706	-	iroD	catecholate siderophore esterase IroD	plus	VIRULENCE	VIRULENCE			BLASTX	409	409	100.0	99.76	409	ACJ63529.1	catecholate siderophore esterase IroD		
FH111		contig00024	4813	8469	-	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE			BLASTX	1219	1219	100.0	99.51	1219	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC		
FH111		contig00024	8612	9724	-	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE			BLASTX	371	371	100.0	99.73	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB		
FH111		contig00024	12872	13210	-	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE			EXACTX	113	113	100.0	100.0	113	CAQ90194.1	increased serum survival lipoprotein Iss		
FH111		contig00033	2	2584	-	tsh	temperature-sensitive protease autotransporter hemagglutinin Tsh	plus	VIRULENCE	VIRULENCE			PARTIAL_CONTIG_ENDX	861	1377	62.53	99.77	861	AAT35241.2	temperature-sensitive protease autotransporter hemagglutinin Tsh		
FH111		contig00035	553	2739	-	iutA	ferric aerobactin receptor IutA	plus	VIRULENCE	VIRULENCE			BLASTX	729	731	99.73	89.71	729	AAN45165.2	ferric aerobactin receptor IutA		
FH111		contig00035	2836	4110	-	iucD	NADPH-dependent L-lysine N(6)-monooxygenase IucD	plus	VIRULENCE	VIRULENCE			BLASTX	425	445	95.51	97.65	425	AAD44749.1	NADPH-dependent L-lysine N(6)-monooxygenase IucD		
FH111		contig00035	4110	5849	-	iucC	NIS family aerobactin synthetase IucC	plus	VIRULENCE	VIRULENCE			BLASTX	580	580	100.0	97.59	580	AAN82073.1	NIS family aerobactin synthetase IucC		
FH111		contig00035	5852	6796	-	iucB	N(6)-hydroxylysine O-acetyltransferase IucB	plus	VIRULENCE	VIRULENCE			BLASTX	315	315	100.0	96.19	315	AAN82074.1	N(6)-hydroxylysine O-acetyltransferase IucB		
FH111		contig00035	6800	8521	-	iucA	aerobactin synthase IucA	plus	VIRULENCE	VIRULENCE			BLASTX	574	576	100.0	95.31	576	EGI25746.1	aerobactin synthase IucA		
FH111		contig00038	4956	5264	+	cvaC	colicin V	plus	VIRULENCE	VIRULENCE			EXACTX	103	103	100.0	100.0	103	CAA40746.1	colicin V		
FH111		contig00038	5440	7533	-	mchF	microcin H47 export transporter peptidase/ATP-binding subunit MchF	plus	VIRULENCE	VIRULENCE			EXACTX	698	698	100.0	100.0	698	CAA40744.1	microcin H47 export transporter peptidase/ATP-binding subunit MchF		
FH111		contig00039	7194	7532	-	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE			EXACTX	113	113	100.0	100.0	113	AAN80033.1	increased serum survival lipoprotein Iss		
FH204		contig00001	233849	235204	-	glpT_E448K	Escherichia fosfomycin resistant GlpT	core	AMR	POINT	FOSFOMYCIN	FOSFOMYCIN	POINTX	452	452	100.0	99.78	452	WP_000948731.1	glycerol-3-phosphate transporter GlpT		
FH204		contig00002	290011	291240	+	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	410	410	100.0	97.56	410	AAC77293.1	multidrug efflux MFS transporter MdtM		
FH204		contig00002	448887	450017	+	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	377	377	100.0	97.88	377	WP_063860454.1	cephalosporin-hydrolyzing class C beta-lactamase EC-8		
FH204		contig00005	16479	21032	-	sslE	lipoprotein metalloprotease SslE	plus	VIRULENCE	VIRULENCE			BLASTX	1518	1520	100.0	96.32	1520	ADE89421.1	lipoprotein metalloprotease SslE		
FH204		contig00005	321675	324776	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1034	1034	100.0	99.52	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF		
FH204		contig00007	257227	257490	-	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID			BLASTX	88	88	100.0	98.86	88	AAC74250.1	biofilm/acid-resistance regulator AriR		
FH204		contig00011	32909	33238	+	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	110	110	100.0	98.18	110	CAA77936.1	multidrug efflux SMR transporter EmrE		
FH204		contig00012	87461	91705	-	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE			BLASTX	1415	1416	100.0	98.16	1416	ABE05822.1	intimin-like adhesin FdeC		
FH204		contig00012	108505	112632	+	vactox	vacuolating autotransporter toxin Vat	plus	VIRULENCE	VIRULENCE			EXACTX	1376	1376	100.0	100.0	1376	AAN78874.1	vacuolating autotransporter toxin Vat		
FH204		contig00013	84837	85175	-	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE			EXACTX	113	113	100.0	100.0	113	CAQ97644.1	increased serum survival lipoprotein Iss		
FH204		contig00014	65339	67882	-	cyaA_S352T	Escherichia fosmidomycin resistant CyaA	core	AMR	POINT	FOSMIDOMYCIN	FOSMIDOMYCIN	POINTX	848	848	100.0	99.29	848	WP_000281668.1	adenylate cyclase CyaA		
FH204		contig00016	30060	30629	+	lpfA	long polar fimbria major subunit LpfA-O113	plus	VIRULENCE	VIRULENCE			BLASTX	190	190	100.0	98.95	190	ACB16424.1	long polar fimbria major subunit LpfA-O113		
FH204		contig00016	87214	88401	-	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	396	396	100.0	99.75	396	EFF04178.1	multidrug efflux MFS transporter EmrD		
FH204		contig00018	48151	49950	+	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE			BLASTX	600	600	100.0	99.5	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP		
FH204		contig00018	49940	51739	+	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE			BLASTX	600	600	100.0	99.67	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ		
FH204		contig00027	3694	4002	+	cvaC	colicin V	plus	VIRULENCE	VIRULENCE			EXACTX	103	103	100.0	100.0	103	CAA40746.1	colicin V		
FH204		contig00027	4178	6271	-	mchF	microcin H47 export transporter peptidase/ATP-binding subunit MchF	plus	VIRULENCE	VIRULENCE			BLASTX	698	698	100.0	99.71	698	CAA40744.1	microcin H47 export transporter peptidase/ATP-binding subunit MchF		
FH204		contig00027	11451	13625	+	iroN	siderophore salmochelin receptor IroN	plus	VIRULENCE	VIRULENCE			EXACTX	725	725	100.0	100.0	725	AAN76093.1	siderophore salmochelin receptor IroN		
FH204		contig00027	13676	14629	-	iroE	catecholate siderophore esterase IroE	plus	VIRULENCE	VIRULENCE			BLASTX	318	318	100.0	99.69	318	ACJ63530.1	catecholate siderophore esterase IroE		
FH204		contig00027	14717	15943	-	iroD	catecholate siderophore esterase IroD	plus	VIRULENCE	VIRULENCE			BLASTX	409	409	100.0	99.76	409	ACJ63529.1	catecholate siderophore esterase IroD		
FH204		contig00027	16050	19706	-	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE			BLASTX	1219	1219	100.0	99.51	1219	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC		
FH204		contig00027	19849	20961	-	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE			BLASTX	371	371	100.0	99.46	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB		
FH204		contig00027	24110	24448	-	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE			EXACTX	113	113	100.0	100.0	113	CAQ90194.1	increased serum survival lipoprotein Iss		
FH204		contig00033	212	2257	+	ireA	TonB-dependent siderophore receptor IreA	plus	VIRULENCE	VIRULENCE			BLASTX	682	682	100.0	99.85	682	AAN83596.1	TonB-dependent siderophore receptor IreA		
FH204		contig00040	6137	10249	-	pic	serine protease autotransporter toxin Pic	plus	VIRULENCE	VIRULENCE			EXACTX	1371	1371	100.0	100.0	1371	AAN78833.1	serine protease autotransporter toxin Pic		
FH204		contig00042	7193	8914	+	iucA	aerobactin synthase IucA	plus	VIRULENCE	VIRULENCE			BLASTX	574	576	100.0	95.31	576	EGI25746.1	aerobactin synthase IucA		
FH204		contig00042	8918	9862	+	iucB	N(6)-hydroxylysine O-acetyltransferase IucB	plus	VIRULENCE	VIRULENCE			BLASTX	315	315	100.0	95.87	315	AAN82074.1	N(6)-hydroxylysine O-acetyltransferase IucB		
FH204		contig00042	9865	11604	+	iucC	NIS family aerobactin synthetase IucC	plus	VIRULENCE	VIRULENCE			BLASTX	580	580	100.0	97.59	580	AAN82073.1	NIS family aerobactin synthetase IucC		
FH204		contig00042	11604	12878	+	iucD	NADPH-dependent L-lysine N(6)-monooxygenase IucD	plus	VIRULENCE	VIRULENCE			BLASTX	425	445	95.51	97.65	425	AAD44749.1	NADPH-dependent L-lysine N(6)-monooxygenase IucD		
FH204		contig00042	12975	15161	+	iutA	ferric aerobactin receptor IutA	plus	VIRULENCE	VIRULENCE			BLASTX	729	731	99.73	89.71	729	AAN45165.2	ferric aerobactin receptor IutA		
FH123		contig00002	11727	13082	-	glpT_E448K	Escherichia fosfomycin resistant GlpT	core	AMR	POINT	FOSFOMYCIN	FOSFOMYCIN	POINTX	452	452	100.0	99.78	452	WP_000948731.1	glycerol-3-phosphate transporter GlpT		
FH123		contig00003	38406	39761	+	glpT_E448K	Escherichia fosfomycin resistant GlpT	core	AMR	POINT	FOSFOMYCIN	FOSFOMYCIN	POINTX	452	452	100.0	98.89	452	WP_000948731.1	glycerol-3-phosphate transporter GlpT		
FH123		contig00019	23511	25205	+	eilA	HilA family transcriptional regulator EilA	plus	VIRULENCE	VIRULENCE			EXACTX	565	565	100.0	100.0	565	CBG36837.1	HilA family transcriptional regulator EilA		
FH123		contig00019	25263	35516	-	air	inverse autotransporter adhesin EaeX/Air	plus	VIRULENCE	VIRULENCE			EXACTX	3418	3418	100.0	100.0	3418	CAR15326.1	inverse autotransporter adhesin EaeX/Air		
FH123		contig00029	28844	29413	-	lpfA	long polar fimbria major subunit LpfA-O113	plus	VIRULENCE	VIRULENCE			EXACTX	190	190	100.0	100.0	190	ACB16424.1	long polar fimbria major subunit LpfA-O113		
FH123		contig00037	15393	19640	+	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE			BLASTX	1416	1416	100.0	95.13	1416	ABE05822.1	intimin-like adhesin FdeC		
FH123		contig00057	18447	18806	-	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	120	120	100.0	90.0	120	AAB09625.1	arsenite efflux transporter metallochaperone ArsD		
FH123		contig00078	17710	21951	+	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE			BLASTX	1414	1416	99.93	92.44	1415	ABE05822.1	intimin-like adhesin FdeC		
FH123		contig00143	8540	8803	+	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID			BLASTX	88	88	100.0	98.86	88	AAC74250.1	biofilm/acid-resistance regulator AriR		
FH123		contig00160	14123	15310	+	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	396	396	100.0	99.75	396	EFF04178.1	multidrug efflux MFS transporter EmrD		
FH123		contig00186	3439	3768	+	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	110	110	100.0	98.18	110	CAA77936.1	multidrug efflux SMR transporter EmrE		
FH123		contig00240	438	2624	-	iutA	ferric aerobactin receptor IutA	plus	VIRULENCE	VIRULENCE			BLASTX	729	731	99.73	89.85	729	AAN45165.2	ferric aerobactin receptor IutA		
FH123		contig00240	2721	3995	-	iucD	NADPH-dependent L-lysine N(6)-monooxygenase IucD	plus	VIRULENCE	VIRULENCE			BLASTX	425	445	95.51	97.65	425	AAD44749.1	NADPH-dependent L-lysine N(6)-monooxygenase IucD		
FH123		contig00240	3995	5734	-	iucC	NIS family aerobactin synthetase IucC	plus	VIRULENCE	VIRULENCE			BLASTX	580	580	100.0	97.59	580	AAN82073.1	NIS family aerobactin synthetase IucC		
FH123		contig00240	5737	6681	-	iucB	N(6)-hydroxylysine O-acetyltransferase IucB	plus	VIRULENCE	VIRULENCE			BLASTX	315	315	100.0	96.19	315	AAN82074.1	N(6)-hydroxylysine O-acetyltransferase IucB		
FH123		contig00240	6685	8406	-	iucA	aerobactin synthase IucA	plus	VIRULENCE	VIRULENCE			BLASTX	574	576	100.0	95.31	576	EGI25746.1	aerobactin synthase IucA		
FH123		contig00256	605	2023	+	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE			BLASTX	473	473	100.0	92.6	473	ADD54679.1	type III secretion system effector EspX1		
FH123		contig00276	2072	2401	+	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	110	110	100.0	99.09	110	CAA77936.1	multidrug efflux SMR transporter EmrE		
FH123		contig00295	295	3396	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	INTERNAL_STOP	1034	1034	100.0	99.61	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF		
FH123		contig00353	5344	6495	-	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE			PARTIALX	384	473	81.18	90.1	384	ADD54679.1	type III secretion system effector EspX1		
FH123		contig00357	2	2848	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	949	1034	91.78	99.37	949	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF		
FH123		contig00380	691	4821	+	tsh	temperature-sensitive protease autotransporter hemagglutinin Tsh	plus	VIRULENCE	VIRULENCE			BLASTX	1377	1377	100.0	99.93	1377	ACA34793.1	temperature-sensitive protease autotransporter hemagglutinin Tsh		
FH123		contig00431	2194	3279	-	capU	putative hexosyltransferase CapU	plus	VIRULENCE	VIRULENCE			BLASTX	362	362	100.0	99.72	362	CAV02025.1	putative hexosyltransferase CapU		
FH123		contig00441	3204	5483	-	cyaA_S352T	Escherichia fosmidomycin resistant CyaA	core	AMR	POINT	FOSMIDOMYCIN	FOSMIDOMYCIN	POINTX	760	848	89.62	99.21	760	WP_000281668.1	adenylate cyclase CyaA		
FH123		contig00442	3200	5479	-	cyaA_S352T	Escherichia fosmidomycin resistant CyaA	core	AMR	POINT	FOSMIDOMYCIN	FOSMIDOMYCIN	POINTX	760	848	89.62	99.21	760	WP_000281668.1	adenylate cyclase CyaA		
FH123		contig00505	1	507	-	blaTEM	TEM family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	169	286	59.09	100.0	169	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1		
FH123		contig00544	375	1583	+	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	403	410	98.29	97.27	403	AAC77293.1	multidrug efflux MFS transporter MdtM		
FH123		contig00560	1164	2360	+	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.0	100.0	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)		
FH123		contig00613	1633	1941	+	cvaC	colicin V	plus	VIRULENCE	VIRULENCE			EXACTX	103	103	100.0	100.0	103	CAA40746.1	colicin V		
FH123		contig00613	2117	3220	-	mchF	microcin H47 export transporter peptidase/ATP-binding subunit MchF	plus	VIRULENCE	VIRULENCE			PARTIAL_CONTIG_ENDX	368	698	52.72	100.0	368	CAA40744.1	microcin H47 export transporter peptidase/ATP-binding subunit MchF		
FH123		contig00620	1922	3052	-	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	377	377	100.0	98.41	377	WP_063610930.1	class C extended-spectrum beta-lactamase EC-15		
FH123		contig00636	472	1584	+	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE			BLASTX	371	371	100.0	99.73	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB		
FH123		contig00698	2	1204	+	iroD	catecholate siderophore esterase IroD	plus	VIRULENCE	VIRULENCE			BLASTX	401	409	98.04	100.0	401	ACJ63529.1	catecholate siderophore esterase IroD		
FH123		contig00698	1292	2245	+	iroE	catecholate siderophore esterase IroE	plus	VIRULENCE	VIRULENCE			BLASTX	318	318	100.0	99.69	318	ACJ63530.1	catecholate siderophore esterase IroE		
FH123		contig00735	3	1664	-	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE			BLASTX	554	600	92.33	99.64	554	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP		
FH123		contig00808	3	1442	-	iroN	siderophore salmochelin receptor IroN	plus	VIRULENCE	VIRULENCE			PARTIAL_CONTIG_ENDX	480	725	66.21	100.0	480	AAN76093.1	siderophore salmochelin receptor IroN		
FH123		contig00925	378	716	-	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE			EXACTX	113	113	100.0	100.0	113	CAQ90194.1	increased serum survival lipoprotein Iss		
FH123		contig00949	150	1037	-	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	296	377	78.51	98.65	296	WP_063860454.1	cephalosporin-hydrolyzing class C beta-lactamase EC-8		
FH123		contig01299	151	612	-	blaTEM	TEM family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	154	286	53.85	100.0	154	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1		
FH123		contig01876	218	499	-	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE			BLASTX	94	97	96.91	100.0	94	CAR12622.1	increased serum survival lipoprotein Iss		
FH123		contig03072	52	333	-	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE			BLASTX	94	97	96.91	100.0	94	BAG76115.1	increased serum survival lipoprotein Iss		
FH38		contig00001	2517	2855	+	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE			EXACTX	113	113	100.0	100.0	113	AAN80033.1	increased serum survival lipoprotein Iss		
