name	BRACKEN.species_best_match	BRACKEN.fraction_total_reads	BRACKEN.species_second_best_match	BRACKEN.fraction_total_reads_second_best_match	GUNC.n_genes_called	GUNC.n_genes_mapped	GUNC.reference_representation_score	GUNC.pass	CHECKM.Completeness	CHECKM.Contamination	CHECKM.Strain heterogeneity	ASSEMBLY_STATS.total_length	ASSEMBLY_STATS.number	ASSEMBLY_STATS.N50
AVC21	Escherichia coli	0.98034	Salmonella enterica	0.00791	4949	4866	0.83	True	99.97	0.04	0.0	5191016	98	214250
AVC155	Escherichia coli	0.97056	Salmonella enterica	0.01242	5104	5027	0.88	True	99.97	0.75	0.0	5196772	289	145092
AVC234	Escherichia coli	0.97723	Salmonella enterica	0.00484	5090	5020	0.88	True	99.97	0.17	0.0	5347117	272	85057
FH108	Escherichia coli	0.95878	Salmonella enterica	0.03216	5035	4958	0.88	True	99.97	0.25	33.33	5253512	133	206738
FH169	Escherichia coli	0.96693	Salmonella enterica	0.01268	5118	5040	0.88	True	99.93	0.22	0.0	5402558	179	129270
FH2	Escherichia coli	0.94248	Salmonella enterica	0.01541	5406	5274	0.84	False	99.67	0.07	0.0	5309228	363	79428
FH149	Escherichia coli	0.8104	Salmonella enterica	0.1523	4582	4534	0.89	True	99.93	0.23	0.0	4855731	129	118304
AVC173	Escherichia coli	0.93835	Shigella boydii	0.04562	5229	5121	0.86	True	99.97	0.25	0.0	5319251	251	176697
FH176	Escherichia coli	0.97391	Shigella sonnei	0.00563	7627	7453	0.83	True	99.16	20.07	91.29	6581037	2026	9937
AVC198	Escherichia coli	0.97575	Salmonella enterica	0.01088	5187	5089	0.84	True	99.77	0.04	0.0	5448538	210	117988
FH110	Escherichia coli	0.95626	Shigella sonnei	0.0246	4684	4637	0.89	True	99.97	0.27	0.0	4999837	103	188747
FH85	Escherichia coli	0.95216	Shigella sonnei	0.01156	4910	4851	0.89	True	99.97	0.13	33.33	5070800	147	148119
AVC107	Escherichia coli	0.95424	Salmonella enterica	0.02793	5213	5096	0.86	False	99.97	0.26	0.0	5366888	176	151264
FH7	Escherichia coli	0.91625	Salmonella enterica	0.076	5448	5335	0.85	False	99.97	0.79	0.0	5496220	292	149533
FH158	Escherichia coli	0.88025	Salmonella enterica	0.10886	4670	4620	0.89	True	99.97	0.33	0.0	4957588	131	188827
AVC223	Escherichia coli	0.98884	Escherichia fergusonii	0.00517	4883	4810	0.87	True	99.97	0.17	0.0	5103046	241	111616
FH160	Escherichia coli	0.88768	Salmonella enterica	0.10249	4672	4623	0.89	True	99.97	0.33	0.0	4957371	130	174936
FH3	Escherichia coli	0.57459	Shigella boydii	0.25933	4794	4721	0.88	True	99.94	0.19	0.0	4942501	195	131887
FH24	Escherichia coli	0.98474	Salmonella enterica	0.00577	4856	4801	0.9	True	99.97	0.11	0.0	5077334	170	175028
FH100	Escherichia coli	0.98087	Klebsiella pneumoniae	0.00664	5215	5131	0.87	True	99.97	0.25	33.33	5372351	168	215830
FH26	Escherichia coli	0.98411	Salmonella enterica	0.00554	4861	4803	0.9	True	99.97	0.24	62.5	5080129	174	130835
FH189	Escherichia coli	0.98616	Salmonella enterica	0.00302	4673	4623	0.89	True	99.97	0.33	0.0	4958291	115	203659
FH41	Escherichia coli	0.97929	Shigella sonnei	0.00526	4988	4924	0.89	True	99.97	0.09	0.0	5307400	148	127678
AVC11	Escherichia coli	0.98632	Salmonella enterica	0.00535	4953	4870	0.83	True	99.97	0.04	0.0	5195986	116	172432
FH4	Escherichia coli	0.9114	Salmonella enterica	0.0799	5413	5302	0.86	False	99.97	0.79	0.0	5445123	341	97662
FH73	Escherichia coli	0.98993	Shigella sonnei	0.00231	4870	4798	0.89	True	99.97	0.57	25.0	5195234	126	292294
FH122	Escherichia coli	0.72531	Shigella sp. PAMC 28760	0.12531	4889	4817	0.87	True	99.97	0.09	0.0	5083300	163	102895
FH74	Escherichia coli	0.98935	Shigella sonnei	0.00276	4852	4782	0.89	True	99.97	0.57	25.0	5174820	116	223194
FH164	Escherichia coli	0.96978	Shigella sonnei	0.00757	4671	4623	0.91	True	99.93	0.44	14.29	4946034	105	235935
FH116	Escherichia coli	0.86813	Salmonella enterica	0.12659	4995	4903	0.86	True	99.97	0.67	44.44	5198900	162	245200
FH72	Escherichia coli	0.97507	Salmonella enterica	0.01808	5164	5040	0.83	True	99.97	0.73	33.33	5334676	228	106132
FH6	Shigella boydii	0.42494	Escherichia coli	0.38018	4777	4709	0.88	True	99.94	0.19	0.0	4916443	194	126742
FH11	Escherichia coli	0.92268	Salmonella enterica	0.03155	5384	5256	0.85	True	99.67	0.07	0.0	5285170	403	69186
FH103	Escherichia coli	0.95187	Salmonella enterica	0.03787	5083	5002	0.88	True	99.97	0.25	33.33	5268702	154	384674
AVC204	Escherichia coli	0.97717	Salmonella enterica	0.00974	5216	5112	0.84	True	99.77	0.78	0.0	5466681	225	118819
FH179	Escherichia coli	0.9851	Salmonella enterica	0.00476	4852	4791	0.87	True	99.97	0.04	0.0	5092675	162	182755
FH133	Escherichia coli	0.95598	Shigella sonnei	0.02661	4689	4642	0.89	True	99.97	0.27	0.0	4999294	106	166966
FH184	Escherichia coli	0.98341	Salmonella enterica	0.00464	4852	4783	0.87	True	99.97	0.04	0.0	5113206	145	171349
AVC94	Escherichia coli	0.84419	Shigella sp. PAMC 28760	0.09269	4787	4727	0.87	True	99.93	0.58	0.0	5027044	138	147354
AVC197	Escherichia coli	0.97595	Salmonella enterica	0.01087	5210	5104	0.85	True	99.77	0.04	0.0	5459503	221	102182
FH40	Escherichia coli	0.90265	Shigella sp. PAMC 28760	0.05413	5152	5064	0.86	True	99.97	0.04	0.0	5288378	281	124282
AVC96	Escherichia coli	0.9652	Shigella flexneri	0.02388	5008	4938	0.89	True	99.97	0.88	11.11	5208742	192	111268
FH42	Escherichia coli	0.97747	Shigella flexneri	0.00535	5007	4935	0.88	True	99.97	0.09	0.0	5308708	171	120265
FH152	Escherichia coli	0.98119	Salmonella enterica	0.00982	4976	4859	0.84	True	99.97	0.04	0.0	5172459	233	98133
FH183	Escherichia coli	0.97919	Salmonella enterica	0.00482	4838	4769	0.87	True	99.97	0.04	0.0	5097898	143	182756
FH202	Salmonella enterica	0.50408	Escherichia coli	0.47603	5270	5142	0.86	False	99.7	0.57	0.0	5259784	400	91550
FH198	Escherichia coli	0.94828	Salmonella enterica	0.04469	4974	4885	0.87	True	99.97	0.52	28.57	5205026	162	149337
FH145	Escherichia coli	0.9868	Salmonella enterica	0.00358	4849	4783	0.9	True	99.97	0.57	25.0	5156029	155	219654
FH170	Escherichia coli	0.97037	Salmonella enterica	0.01005	5144	5070	0.88	True	99.93	0.29	16.67	5389142	231	145788
FH117	Escherichia coli	0.90759	Salmonella enterica	0.08464	4992	4903	0.86	True	99.97	0.52	28.57	5206199	152	249852
FH81	Escherichia coli	0.96604	Escherichia fergusonii	0.01583	4814	4762	0.91	True	99.97	0.39	0.0	5047297	124	266253
FH43	Escherichia coli	0.97396	Shigella sonnei	0.00551	5026	4960	0.88	True	99.97	0.09	0.0	5313038	186	129696
FH188	Escherichia coli	0.98077	Salmonella enterica	0.00521	4723	4665	0.88	True	99.97	0.04	0.0	4978857	110	165314
FH107	Escherichia coli	0.96238	Salmonella enterica	0.02507	5043	4963	0.88	True	99.97	0.19	0.0	5254443	149	204447
FH66	Escherichia coli	0.86564	Shigella sp. PAMC 28760	0.07573	22932	22259	0.86	False	100.0	113.7	92.99	12532738	15489	1419
FH140	Escherichia coli	0.98871	Shigella sonnei	0.00359	4824	4758	0.9	True	99.97	0.57	25.0	5160379	110	244535
AVC58	Escherichia coli	0.98235	Salmonella enterica	0.00569	4860	4792	0.88	True	99.97	0.07	0.0	5091184	148	135986
FH177	Escherichia coli	0.97816	Salmonella enterica	0.00605	4720	4659	0.88	True	99.97	0.04	0.0	4976687	95	201730
FH153	Escherichia coli	0.89333	Salmonella sp. SJTUF14154	0.03893	4817	4753	0.88	False	99.97	0.17	0.0	4883356	230	111875
FH79	Escherichia coli	0.93739	Escherichia fergusonii	0.03017	4818	4772	0.91	True	99.97	0.39	0.0	5033204	156	203909
FH147	Escherichia coli	0.98813	Shigella sonnei	0.00277	4846	4776	0.9	True	99.97	0.57	25.0	5175717	124	292584
AVC167	Escherichia coli	0.97366	Salmonella enterica	0.01275	5086	4997	0.87	True	99.77	0.19	0.0	5351382	218	118819
FH70	Escherichia coli	0.97583	Salmonella enterica	0.0177	5069	4970	0.84	True	99.97	0.79	45.45	5290136	202	119169
FH139	Escherichia coli	0.98778	Shigella sonnei	0.00304	4842	4773	0.9	True	99.97	0.57	25.0	5176624	118	295065
FH143	Escherichia coli	0.9848	Shigella sonnei	0.00454	4851	4780	0.9	True	99.97	0.57	25.0	5158778	162	186141
FH105	Escherichia coli	0.95567	Salmonella enterica	0.03424	5032	4960	0.88	True	99.97	0.25	33.33	5253206	131	206738
FH208	Escherichia coli	0.97446	Shigella sonnei	0.005	5204	5118	0.89	True	99.97	0.19	33.33	5480029	208	105220
AVC226	Escherichia coli	0.80767	Shigella sp. PAMC 28760	0.14224	4672	4633	0.9	True	99.97	0.14	0.0	4891643	155	168048
FH33	Escherichia coli	0.82546	Escherichia fergusonii	0.08223	4829	4752	0.86	True	99.97	0.04	0.0	5038772	154	119297
FH29	Escherichia coli	0.9841	Shigella sonnei	0.00385	5033	4944	0.89	True	99.97	0.57	25.0	5296076	197	186809
AVC126	Escherichia coli	0.97262	Salmonella enterica	0.01505	5175	5071	0.85	True	99.77	0.04	0.0	5445260	203	118835
AVC222	Escherichia coli	0.87361	Salmonella enterica	0.08607	5188	5083	0.87	True	99.97	0.75	0.0	5290989	256	123202
AVC220	Escherichia coli	0.96484	Salmonella enterica	0.02456	5064	4933	0.84	True	99.97	0.75	12.5	5254517	172	104519
AVC35	Escherichia coli	0.9332	Shigella sonnei	0.01616	5051	4958	0.92	False	99.97	0.31	20.0	5179095	155	187068
AVC200	Escherichia coli	0.9694	Salmonella enterica	0.01556	5196	5091	0.85	True	99.77	0.04	0.0	5459348	252	97717
FH102	Escherichia coli	0.9601	Salmonella enterica	0.02714	5056	4971	0.87	True	99.97	0.48	33.33	5253784	167	226646
FH199	Escherichia coli	0.93762	Salmonella enterica	0.05596	4975	4884	0.87	True	99.97	0.52	28.57	5200568	164	149337
FH13	Escherichia coli	0.94677	Salmonella enterica	0.01472	5452	5314	0.84	False	99.67	0.07	0.0	5337188	398	88777
FH131	Escherichia coli	0.69145	Salmonella sp. SSDFZ54	0.25251	5081	5009	0.88	True	99.93	0.33	16.67	5215461	201	212661
FH205	Escherichia coli	0.93764	Salmonella enterica	0.05592	4969	4884	0.87	True	99.97	0.52	28.57	5202198	157	149601
FH54	Escherichia coli	0.92991	Salmonella enterica	0.06194	5025	4937	0.86	True	99.97	0.59	25.0	5197079	205	197578
FH32	Escherichia coli	0.97628	Salmonella enterica	0.00786	5389	5255	0.84	True	99.97	0.18	0.0	5573548	296	75055
AVC8	Escherichia coli	0.77842	Salmonella enterica	0.21314	4946	4864	0.83	True	99.97	0.04	0.0	5194108	93	297500
FH112	Escherichia coli	0.95676	Shigella sonnei	0.02683	4698	4649	0.89	True	99.97	0.33	20.0	5008566	98	241308
AVC109	Escherichia coli	0.8611	Salmonella enterica	0.11841	4591	4540	0.89	True	99.97	0.19	0.0	4810122	183	96949
AVC77	Escherichia coli	0.96246	Salmonella enterica	0.02202	5434	5328	0.85	False	99.97	1.17	11.11	5502775	288	109521
FH191	Escherichia coli	0.98708	Salmonella enterica	0.00321	4668	4618	0.89	True	99.97	0.33	0.0	4958973	121	142269
FH194	Escherichia coli	0.98182	Salmonella enterica	0.00511	5186	5093	0.87	True	99.97	0.39	0.0	5317657	157	190538
FH115	Escherichia coli	0.89805	Salmonella enterica	0.09526	5005	4914	0.86	True	99.97	0.67	44.44	5198600	174	245200
FH90	Escherichia coli	0.98337	Salmonella enterica	0.00434	5061	4981	0.88	True	99.97	0.04	0.0	5248941	136	226847
AVC105	Escherichia coli	0.98296	Escherichia fergusonii	0.00542	4868	4782	0.89	True	99.97	0.04	0.0	5163208	129	172660
FH118	Escherichia coli	0.9847	Shigella sonnei	0.00424	4844	4778	0.9	True	99.97	0.57	25.0	5156760	146	183291
AVC39	Escherichia coli	0.98356	Shigella sonnei	0.00438	4978	4875	0.87	True	99.97	0.04	0.0	5249000	213	79168
FH197	Escherichia coli	0.94692	Salmonella enterica	0.0457	4973	4882	0.87	True	99.97	0.52	28.57	5204555	163	155971
AVC232	Escherichia coli	0.9374	Shigella boydii	0.04744	4991	4927	0.89	True	99.97	0.09	0.0	5300449	159	172413
FH129	Escherichia coli	0.96482	Salmonella enterica	0.01872	337	140	0.25	True	0.0	0.0	0.0	228008	27	168037
FH86	Escherichia coli	0.93737	Proteus mirabilis	0.02747	7196	7058	0.92	False	99.87	17.13	86.6	6774735	1236	15100
AVC103	Escherichia coli	0.98511	Salmonella enterica	0.00803	5344	5210	0.84	True	99.97	0.25	0.0	5397889	293	190370
FH17	Escherichia coli	0.94964	Salmonella enterica	0.01435	5636	5457	0.82	True	99.67	0.07	0.0	5487955	396	88884
